Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.947241229551,3.1217990005,0.0,3.09383162212,0.0,0.0856165427834,0.0856165427834,0.0856165427834,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.775196315722,3.69789111126,0.0,3.67214052269,0.0,0.101231238846,0.101231238846,0.101231238846,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844223262
 01/01  03:00:00,0.718157846997,4.04540533214,0.0,4.01995330111,0.0,0.110229150223,0.110229150223,0.110229150223,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417487036
 01/01  04:00:00,0.717319896253,4.35390797645,0.0,4.32881421449,0.0,0.118277163862,0.118277163862,0.118277163862,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.086107255401
 01/01  05:00:00,0.768902503173,4.52771791087,0.0,4.50357206912,0.0,0.122745462771,0.122745462771,0.122745462771,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188676
 01/01  06:00:00,1.03653833221,4.58346604717,0.0,4.5565212284,0.0,0.123992068211,0.123992068211,0.123992068211,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.65120328674,4.42693745947,0.0,4.39580537108,0.0,0.119410360764,0.119410360764,0.119410360764,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.08299036002,4.44344132574,0.0,4.41036114935,0.0,0.119654652663,0.119654652663,0.119654652663,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,2.02644656097,4.38954010641,0.0,4.36157272803,0.0,0.118334307088,0.118334307088,0.118334307088,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306509886
 01/01  10:00:00,1.76834837477,3.87686038579,0.0,3.85305788522,0.0,0.104243146036,0.104243146036,0.104243146036,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428685618
 01/01  11:00:00,1.66190418208,3.86183729394,0.0,3.83747499797,0.0,0.104613573111,0.104613573111,0.104613573111,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447185
 01/01  12:00:00,1.55291678824,2.68164801788,0.0,2.65727825796,0.0,0.0723944711771,0.0723944711771,0.0723944711771,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266156401
 01/01  13:00:00,1.44358547185,2.04544009539,0.0,2.02148085211,0.0,0.0554911011369,0.0554911011369,0.0554911011369,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750162276
 01/01  14:00:00,1.34987462719,1.21410087069,0.0,1.18931313021,0.0,0.0327948331173,0.0327948331173,0.0327948331173,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.43092799371
 01/01  15:00:00,1.2899343067,0.635551573793,0.0,0.609368076772,0.0,0.0168704056178,0.0168704056178,0.0168704056178,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433168
 01/01  16:00:00,1.36256627021,0.616858842201,0.0,0.58921987713,0.0,0.0164052860804,0.0164052860804,0.0164052860804,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.39332805599
 01/01  17:00:00,1.68080447672,0.902184352462,0.0,0.869492300879,0.0,0.0243795177153,0.0243795177153,0.0243795177153,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914888497
 01/01  18:00:00,2.28986555617,1.85695954512,0.0,1.8172439272,0.0,0.0511235280146,0.0511235280146,0.0511235280146,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556680397565
 01/01  19:00:00,2.70624916139,1.20035898237,0.0,1.1572398084,0.0,0.0320751554189,0.0320751554189,0.0320751554189,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.664127807223
 01/01  20:00:00,2.6913716428,1.22682812265,0.0,1.18232065608,0.0,0.0326638544628,0.0326638544628,0.0326638544628,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686909669881
 01/01  21:00:00,2.488775175,1.41128444585,0.0,1.36524687184,0.0,0.0377238548694,0.0377238548694,0.0377238548694,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498747945
 01/01  22:00:00,2.25424555652,1.71680491544,0.0,1.6718421486,0.0,0.0462234966224,0.0462234966224,0.0462234966224,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.550454393869
 01/01  23:00:00,1.82549635971,2.05676479643,0.0,2.01785528389,0.0,0.0558147927549,0.0558147927549,0.0558147927549,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370613313
 01/01  24:00:00,1.38203549613,2.39842888182,0.0,2.36461723943,0.0,0.0653783786408,0.0653783786408,0.0653783786408,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.298875805511
 01/02  01:00:00,0.920287997998,2.77214166037,0.0,2.744174282,0.0,0.07580117823,0.07580117823,0.07580117823,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148239281593
 01/02  02:00:00,0.748747929896,3.07884184914,0.0,3.05309126056,0.0,0.0842895837896,0.0842895837896,0.0842895837896,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0925247156319
 01/02  03:00:00,0.686938238673,3.13283557699,0.0,3.10738354596,0.0,0.0856996997369,0.0856996997369,0.0856996997369,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0773628292928
 01/02  04:00:00,0.679426820079,3.15662702819,0.0,3.13153326622,0.0,0.0861282493078,0.0861282493078,0.0861282493078,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0817284979536
 01/02  05:00:00,0.719379695606,3.11222996093,0.0,3.08808411918,0.0,0.0848482815363,0.0848482815363,0.0848482815363,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126182717959
 01/02  06:00:00,0.966622652659,3.07914375304,0.0,3.05219893427,0.0,0.0839336760336,0.0839336760336,0.0839336760336,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.320874500133
 01/02  07:00:00,1.55007272376,3.22436038836,0.0,3.19322829997,0.0,0.0879834507017,0.0879834507017,0.0879834507017,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.684307111841
 01/02  08:00:00,1.95149011328,2.9785251631,0.0,2.9454449867,0.0,0.0812408204027,0.0812408204027,0.0812408204027,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.784337203013
 01/02  09:00:00,1.87263850933,2.65859522,0.0,2.63062784163,0.0,0.0722323516926,0.0722323516926,0.0722323516926,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.758037714535
 01/02  10:00:00,1.60402627526,2.01019024879,0.0,1.98638774822,0.0,0.0543446394031,0.0543446394031,0.0543446394031,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.678036151204
 01/02  11:00:00,1.49011336198,1.60334808465,0.0,1.57898578867,0.0,0.0433520500119,0.0433520500119,0.0433520500119,0.121932141685,0.0262674173776,0.344876619894,0.353695753539,0.583345379474
 01/02  12:00:00,1.3932679697,0.562723478893,0.0,0.538353718981,0.0,0.0147127126973,0.0147127126973,0.0147127126973,0.121932141685,0.0262674173776,0.361119725873,0.353804116208,0.498787855855
 01/02  13:00:00,1.29874780093,0.0745718374555,0.0,0.0506125941723,0.0,0.0013767427536,0.0013767427536,0.0013767427536,0.121932141685,0.0262674173776,0.3518459739,0.347844169381,0.432837355838
 01/02  14:00:00,1.23588467328,0.0247877404808,0.0,0.0,0.0,0.0,0.0,0.0,0.121932141685,0.0262674173776,0.317847783081,0.359872425705,0.393320905436
 01/02  15:00:00,1.1997228449,0.026183497021,0.0,0.0,0.0,0.0,0.0,0.0,0.128349576704,0.0276499030931,0.292642171022,0.380136244918,0.354300949165
 01/02  16:00:00,1.27506548833,0.0276389650709,0.0,0.0,0.0,0.0,0.0,0.0,0.160436990796,0.0345623831569,0.302863615842,0.401266965488,0.359291533042
 01/02  17:00:00,1.57898202277,0.0326920515826,0.0,0.0,0.0,0.0,0.0,0.0,0.269534103112,0.0580648119413,0.353720743409,0.4746284928,0.406389871508
 01/02  18:00:00,2.16398580348,0.406381091388,0.0,0.366665473472,0.0,0.0100745923733,0.0100745923733,0.0100745923733,0.500563357112,0.107834640941,0.445069937436,0.576597764883,0.507201510739
 01/02  19:00:00,2.5756447527,0.043119173971,0.0,0.0,0.0,0.0,0.0,0.0,0.744427560815,0.160369475696,0.398283704478,0.626011142216,0.599908869497
 01/02  20:00:00,2.55346207662,0.0766000309691,0.0,0.0320925643966,0.0,0.000878254337162,0.000878254337162,0.000878254337162,0.789349924612,0.170046944353,0.315345896534,0.646166598759,0.615030458029
 01/02  21:00:00,2.35474442359,0.300525060377,0.0,0.254487486367,0.0,0.00700304998353,0.00700304998353,0.00700304998353,0.680252812296,0.146544515569,0.275874927963,0.668380946025,0.560044171754
 01/02  22:00:00,2.13390584469,0.725163137483,0.0,0.680200370649,0.0,0.0188849799023,0.0188849799023,0.0188849799023,0.571155699981,0.123042103946,0.258342283024,0.652776721604,0.493060056236
 01/02  23:00:00,1.72749999263,1.16064401026,0.0,1.12173449773,0.0,0.0312399282932,0.0312399282932,0.0312399282932,0.429971093908,0.0926271950982,0.205880856148,0.564894596568,0.386242322617
 01/02  24:00:00,1.31579167716,1.57105881609,0.0,1.5372471737,0.0,0.0427675024182,0.0427675024182,0.0427675024182,0.295204002519,0.0635947891276,0.135920781757,0.490882893238,0.270777708097
 01/03  01:00:00,0.89878056913,1.97441374392,0.0,1.94644636555,0.0,0.0540694675872,0.0540694675872,0.0540694675872,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148463563368
 01/03  02:00:00,0.726410831071,2.25730931355,0.0,2.23155872497,0.0,0.0618403470455,0.0618403470455,0.0618403470455,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0926368535506
 01/03  03:00:00,0.668115596953,2.44114913041,0.0,2.41569709939,0.0,0.0667980023494,0.0667980023494,0.0667980023494,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0774418849604
 01/03  04:00:00,0.667050324585,2.69326486428,0.0,2.66817110231,0.0,0.0736635038322,0.0736635038322,0.0736635038322,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.081816747935
 01/03  05:00:00,0.71160935596,2.81396805488,0.0,2.78982221313,0.0,0.0768979502848,0.0768979502848,0.0768979502848,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126362709565
 01/03  06:00:00,0.961079972592,2.85601868778,0.0,2.82907386901,0.0,0.0778221416408,0.0778221416408,0.0778221416408,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.32144335446
 01/03  07:00:00,1.53443459744,2.6174095228,0.0,2.58627743441,0.0,0.0710460903986,0.0710460903986,0.0710460903986,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.685606345828
 01/03  08:00:00,1.94994282757,2.88949948346,0.0,2.85641930706,0.0,0.0781761026053,0.0781761026053,0.0781761026053,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.785854635102
 01/03  09:00:00,1.86956013775,2.49919970027,0.0,2.47123232189,0.0,0.0676771540619,0.0676771540619,0.0676771540619,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.759514540593
 01/03  10:00:00,1.6116515552,2.23716296254,0.0,2.21336046197,0.0,0.0606435933225,0.0606435933225,0.0606435933225,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.679362477223
 01/03  11:00:00,1.49999486035,1.91937292538,0.0,1.89501062941,0.0,0.0520947315957,0.0520947315957,0.0520947315957,0.121932141685,0.0262674173776,0.344876619894,0.353695753539,0.584484196261
 01/03  12:00:00,1.39716208449,0.671087154638,0.0,0.646717394725,0.0,0.0176416788462,0.0176416788462,0.0176416788462,0.121932141685,0.0262674173776,0.361119725873,0.353804116208,0.4997530045
 01/03  13:00:00,1.30307721494,0.202954966439,0.0,0.178995723156,0.0,0.00487656265631,0.00487656265631,0.00487656265631,0.121932141685,0.0262674173776,0.3518459739,0.347844169381,0.433666949939
 01/03  14:00:00,1.2544350639,0.656874523853,0.0,0.632086783372,0.0,0.0174099229893,0.0174099229893,0.0174099229893,0.121932141685,0.0262674173776,0.317847783081,0.359872425705,0.394461373064
 01/03  15:00:00,1.21815261526,0.645985189403,0.0,0.619801692382,0.0,0.0172408629848,0.0172408629848,0.0172408629848,0.128349576704,0.0276499030931,0.292642171022,0.380136244918,0.355489856539
 01/03  16:00:00,1.29410674763,0.666380364914,0.0,0.638741399843,0.0,0.0178329282262,0.0178329282262,0.0178329282262,0.160436990796,0.0345623831569,0.302863615842,0.401266965488,0.360499864119
 01/03  17:00:00,1.59783581337,0.664691044714,0.0,0.631998993132,0.0,0.0176901084321,0.0176901084321,0.0176901084321,0.269534103112,0.0580648119413,0.353720743409,0.4746284928,0.407553553681
 01/03  18:00:00,2.1827868488,1.03317291461,0.0,0.993457296693,0.0,0.027863956133,0.027863956133,0.027863956133,0.500563357112,0.107834640941,0.445069937436,0.576597764883,0.508213192292
 01/03  19:00:00,2.58974537537,0.505953086784,0.0,0.462833912813,0.0,0.0128981601688,0.0128981601688,0.0128981601688,0.744427560815,0.160369475696,0.398283704478,0.626011142216,0.601111331992
 01/03  20:00:00,2.56522061773,0.456593751749,0.0,0.412086285177,0.0,0.0114521433699,0.0114521433699,0.0114521433699,0.789349924612,0.170046944353,0.315345896534,0.646166598759,0.616215110099
 01/03  21:00:00,2.36269584777,0.546054056021,0.0,0.500016482012,0.0,0.0139007034237,0.0139007034237,0.0139007034237,0.680252812296,0.146544515569,0.275874927963,0.668380946025,0.56109794249
 01/03  22:00:00,2.1341880032,0.700762531459,0.0,0.655799764625,0.0,0.0182432849983,0.0182432849983,0.0182432849983,0.571155699981,0.123042103946,0.258342283024,0.652776721604,0.493983909646
 01/03  23:00:00,1.72236250431,0.950927472586,0.0,0.912017960051,0.0,0.0253969442378,0.0253969442378,0.0253969442378,0.429971093908,0.0926271950982,0.205880856148,0.564894596568,0.38694781835
 01/03  24:00:00,1.30723166715,1.24426512637,0.0,1.21045348398,0.0,0.0337403523379,0.0337403523379,0.0337403523379,0.295204002519,0.0635947891276,0.135920781757,0.490882893238,0.27124484817
 01/04  01:00:00,0.88810972719,1.57730006315,0.0,1.54933268478,0.0,0.0431814005838,0.0431814005838,0.0431814005838,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148680788431
 01/04  02:00:00,0.715627144266,1.85441036827,0.0,1.8286597797,0.0,0.0509480890769,0.0509480890769,0.0509480890769,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0927454247149
 01/04  03:00:00,0.654515408889,1.93386584601,0.0,1.90841381498,0.0,0.0531212782245,0.0531212782245,0.0531212782245,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0775184210208
 01/04  04:00:00,0.650611189419,2.0814832803,0.0,2.05638951833,0.0,0.0571389340044,0.0571389340044,0.0571389340044,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0819021825965
 01/04  05:00:00,0.692872649411,2.11165293343,0.0,2.08750709168,0.0,0.0579869981475,0.0579869981475,0.0579869981475,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126536955153
 01/04  06:00:00,0.938063705448,1.98088291769,0.0,1.95393809892,0.0,0.0542551876691,0.0542551876691,0.0542551876691,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.321994041287
 01/04  07:00:00,1.52242436006,2.1146181452,0.0,2.08348605681,0.0,0.0577781482025,0.0577781482025,0.0577781482025,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.686864050643
 01/04  08:00:00,1.92808677649,2.0090612479,0.0,1.9759810715,0.0,0.0548510873122,0.0548510873122,0.0548510873122,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.787323599313
 01/04  09:00:00,1.85045139467,1.72940717613,0.0,1.70143979775,0.0,0.0471387530261,0.0471387530261,0.0471387530261,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.760944198544
 01/04  10:00:00,1.60937561408,2.08446744365,0.0,2.06066494308,0.0,0.0570836874278,0.0570836874278,0.0570836874278,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.680646441997
 01/04  11:00:00,1.5086352702,2.17185777309,0.0,2.14749547712,0.0,0.0596326899817,0.0596326899817,0.0596326899817,0.121932141685,0.0262674173776,0.344876619894,0.353695753539,0.585586647721
 01/04  12:00:00,1.43624612503,2.03949388695,0.0,2.01512412703,0.0,0.0557913916805,0.0557913916805,0.0557913916805,0.121932141685,0.0262674173776,0.361119725873,0.353804116208,0.500687332211
 01/04  13:00:00,1.35155788678,1.92227614891,0.0,1.89831690562,0.0,0.0525541353072,0.0525541353072,0.0525541353072,0.121932141685,0.0262674173776,0.3518459739,0.347844169381,0.434470049134
 01/04  14:00:00,1.30078098541,2.29223081465,0.0,2.26744307416,0.0,0.0630359501572,0.0630359501572,0.0630359501572,0.121932141685,0.0262674173776,0.317847783081,0.359872425705,0.395181267406
 01/04  15:00:00,1.26948564545,2.47430212484,0.0,2.44811862782,0.0,0.0679324909095,0.0679324909095,0.0679324909095,0.128349576704,0.0276499030931,0.292642171022,0.380136244918,0.356131258802
 01/04  16:00:00,1.345487166,2.50523147972,0.0,2.47759251465,0.0,0.068564835372,0.068564835372,0.068564835372,0.160436990796,0.0345623831569,0.302863615842,0.401266965488,0.361148375348
 01/04  17:00:00,1.6459953048,2.39207875647,0.0,2.35938670489,0.0,0.0651094822904,0.0651094822904,0.0651094822904,0.269534103112,0.0580648119413,0.353720743409,0.4746284928,0.408293671245
 01/04  18:00:00,2.2410890109,3.12238293921,0.0,3.0826673213,0.0,0.085237504417,0.085237504417,0.085237504417,0.500563357112,0.107834640941,0.445069937436,0.576597764883,0.509141806109
 01/04  19:00:00,2.64742895101,2.57758361071,0.0,2.53446443674,0.0,0.069486026505,0.069486026505,0.069486026505,0.744427560815,0.160369475696,0.398283704478,0.626011142216,0.602207041303
 01/04  20:00:00,2.62093973303,2.4620858337,0.0,2.41757836713,0.0,0.0660539402445,0.0660539402445,0.0660539402445,0.789349924612,0.170046944353,0.315345896534,0.646166598759,0.617332428523
 01/04  21:00:00,2.43102262616,3.00893721476,0.0,2.96289964075,0.0,0.0812098685575,0.0812098685575,0.0812098685575,0.680252812296,0.146544515569,0.275874927963,0.668380946025,0.562115555754
 01/04  22:00:00,2.21201292811,3.52297638423,0.0,3.4780136174,0.0,0.095173865506,0.095173865506,0.095173865506,0.571155699981,0.123042103946,0.258342283024,0.652776721604,0.494878254044
 01/04  23:00:00,1.80975207584,4.14497278562,0.0,4.10606327308,0.0,0.112103557749,0.112103557749,0.112103557749,0.429971093908,0.0926271950982,0.205880856148,0.564894596568,0.387630776365
 01/04  24:00:00,1.41035692581,5.03651009487,0.0,5.00269845248,0.0,0.136413340912,0.136413340912,0.136413340912,0.295204002519,0.0635947891276,0.135920781757,0.490882893238,0.27169711826
 01/05  01:00:00,0.991678455819,5.42639036931,0.0,5.39842299094,0.0,0.146540006637,0.146540006637,0.146540006637,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148890911007
 01/05  02:00:00,0.838669007632,6.43639544179,0.0,6.41064485321,0.0,0.17388497987,0.17388497987,0.17388497987,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0928503972871
 01/05  03:00:00,0.787642531706,6.91384896651,0.0,6.88839693549,0.0,0.186174407236,0.186174407236,0.186174407236,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0775924148264
 01/05  04:00:00,0.788043148149,7.2511150906,0.0,7.22602132863,0.0,0.19448814655,0.19448814655,0.19448814655,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0819849287815
 01/05  05:00:00,0.835100373116,7.46342269306,0.0,7.43927685131,0.0,0.200046271404,0.200046271404,0.200046271404,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126705405601
 01/05  06:00:00,1.09192823136,7.76610864536,0.0,7.73916382659,0.0,0.207587357236,0.207587357236,0.207587357236,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.322526397635
 01/05  07:00:00,1.67152901064,7.69793203502,0.0,7.66679994663,0.0,0.205666961265,0.205666961265,0.205666961265,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.688079888158
 01/05  08:00:00,2.09375626972,8.23548110357,0.0,8.20240092718,0.0,0.219100516191,0.219100516191,0.219100516191,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.788743663661
 01/05  09:00:00,2.00326729755,7.4709172281,0.0,7.44294984972,0.0,0.198572589364,0.198572589364,0.198572589364,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.762326265085
 01/05  10:00:00,1.75398591449,7.54512732834,0.0,7.52132482777,0.0,0.200452612226,0.200452612226,0.200452612226,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.681887817611
 01/05  11:00:00,1.6642299996,8.00536989425,0.0,7.98100759828,0.0,0.214161643244,0.214161643244,0.214161643244,0.121932141685,0.0262674173776,0.344876619894,0.353695753539,0.586652423861
 01/05  12:00:00,1.56273620374,6.81552591778,0.0,6.79115615786,0.0,0.181378173711,0.181378173711,0.181378173711,0.121932141685,0.0262674173776,0.361119725873,0.353804116208,0.501590628882
 01/05  13:00:00,1.4506131682,5.66795810517,0.0,5.64399886189,0.0,0.15083299443,0.15083299443,0.15083299443,0.121932141685,0.0262674173776,0.3518459739,0.347844169381,0.435246471426
 01/05  14:00:00,1.35951762626,4.54151303029,0.0,4.51672528981,0.0,0.121076632115,0.121076632115,0.121076632115,0.121932141685,0.0262674173776,0.317847783081,0.359872425705,0.395877226292
 01/05  15:00:00,1.30518195138,3.83926978285,0.0,3.81308628582,0.0,0.103008723882,0.103008723882,0.103008723882,0.128349576704,0.0276499030931,0.292642171022,0.380136244918,0.356751331759
 01/05  16:00:00,1.37591214807,3.66295345383,0.0,3.63531448876,0.0,0.0983628960255,0.0983628960255,0.0983628960255,0.160436990796,0.0345623831569,0.302863615842,0.401266965488,0.361775296764
 01/05  17:00:00,1.68682902731,3.87178274901,0.0,3.83909069743,0.0,0.105227773623,0.105227773623,0.105227773623,0.269534103112,0.0580648119413,0.353720743409,0.4746284928,0.409009102427
 01/05  18:00:00,2.30669521963,5.48232193443,0.0,5.44260631651,0.0,0.149946005141,0.149946005141,0.149946005141,0.500563357112,0.107834640941,0.445069937436,0.576597764883,0.510039514118
 01/05  19:00:00,2.70468791878,4.69527285169,0.0,4.65215367772,0.0,0.125685709405,0.125685709405,0.125685709405,0.744427560815,0.160369475696,0.398283704478,0.626011142216,0.603266326172
 01/05  20:00:00,2.68690223748,4.89962178292,0.0,4.85511431635,0.0,0.130936287923,0.130936287923,0.130936287923,0.789349924612,0.170046944353,0.315345896534,0.646166598759,0.618412585304
 01/05  21:00:00,2.49300863427,5.32196792112,0.0,5.27593034711,0.0,0.142212131585,0.142212131585,0.142212131585,0.680252812296,0.146544515569,0.275874927963,0.668380946025,0.563099300827
 01/05  22:00:00,2.27292141395,5.81374169888,0.0,5.76877893205,0.0,0.1552177784,0.1552177784,0.1552177784,0.571155699981,0.123042103946,0.258342283024,0.652776721604,0.495742826992
 01/05  23:00:00,1.8701381851,6.43352113607,0.0,6.39461162354,0.0,0.171829443757,0.171829443757,0.171829443757,0.429971093908,0.0926271950982,0.205880856148,0.564894596568,0.38829099962
 01/05  24:00:00,1.45630560364,6.82042245973,0.0,6.78661081734,0.0,0.181924907343,0.181924907343,0.181924907343,0.295204002519,0.0635947891276,0.135920781757,0.490882893238,0.272134229657
 01/06  01:00:00,1.0442184194,7.45861287973,0.0,7.43064550135,0.0,0.1988769429,0.1988769429,0.1988769429,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.149093938324
 01/06  02:00:00,0.870221956028,7.69335112092,0.0,7.66760053234,0.0,0.20533656438,0.20533656438,0.20533656438,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0929517611738
 01/06  03:00:00,0.814975781694,8.02688340304,0.0,8.00143137202,0.0,0.213436225341,0.213436225341,0.213436225341,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0776638467101
 01/06  04:00:00,0.812131629001,8.21318284466,0.0,8.18808908269,0.0,0.218497050306,0.218497050306,0.218497050306,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.082064505877
 01/06  05:00:00,0.857032403514,8.34534027128,0.0,8.32119442952,0.0,0.221815703743,0.221815703743,0.221815703743,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.12686800366
 01/06  06:00:00,1.1060176261,8.33108049082,0.0,8.30413567205,0.0,0.22116288402,0.22116288402,0.22116288402,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.323040265588
 01/06  07:00:00,1.68317461216,8.15630985366,0.0,8.12517776527,0.0,0.216138952628,0.216138952628,0.216138952628,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.689253498313
 01/06  08:00:00,2.10823899266,8.77808499623,0.0,8.74500481984,0.0,0.232212495184,0.232212495184,0.232212495184,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.790114407608
 01/06  09:00:00,1.99778223651,7.30912242873,0.0,7.28115505035,0.0,0.191753462475,0.191753462475,0.191753462475,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.763660330932
 01/06  10:00:00,1.70361088884,5.68696013291,0.0,5.66315763234,0.0,0.148879611142,0.148879611142,0.148879611142,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.683085793045
 01/06  11:00:00,1.59576473902,5.42639661206,0.0,5.40203431609,0.0,0.144667659486,0.144667659486,0.144667659486,0.121932141685,0.0262674173776,0.344876619894,0.353695753539,0.587681147035
 01/06  12:00:00,1.47503257448,3.49350013419,0.0,3.46913037428,0.0,0.0928027490105,0.0928027490105,0.0928027490105,0.121932141685,0.0262674173776,0.361119725873,0.353804116208,0.502462424327
 01/06  13:00:00,1.36577818986,2.44080465669,0.0,2.4168454134,0.0,0.0652486648054,0.0652486648054,0.0652486648054,0.121932141685,0.0262674173776,0.3518459739,0.347844169381,0.435995822708
 01/06  14:00:00,1.2865117937,1.76234387743,0.0,1.73755613695,0.0,0.0473990645971,0.0473990645971,0.0473990645971,0.121932141685,0.0262674173776,0.317847783081,0.359872425705,0.396548961258
 01/06  15:00:00,1.2379727814,1.30858831252,0.0,1.2824048155,0.0,0.0352010653817,0.0352010653817,0.0352010653817,0.128349576704,0.0276499030931,0.292642171022,0.380136244918,0.357349820281
 01/06  16:00:00,1.31816575731,1.47094327398,0.0,1.44330430891,0.0,0.0400113575097,0.0400113575097,0.0400113575097,0.160436990796,0.0345623831569,0.302863615842,0.401266965488,0.362380444515
 01/06  17:00:00,1.63578783705,1.95050741593,0.0,1.91781536435,0.0,0.0534959759141,0.0534959759141,0.0534959759141,0.269534103112,0.0580648119413,0.353720743409,0.4746284928,0.40969970987
 01/06  18:00:00,2.25616735886,3.56285811882,0.0,3.5231425009,0.0,0.098551640292,0.098551640292,0.098551640292,0.500563357112,0.107834640941,0.445069937436,0.576597764883,0.510906018201
 01/06  19:00:00,2.66261620037,3.05438666238,0.0,3.01126748841,0.0,0.0825915781147,0.0825915781147,0.0825915781147,0.744427560815,0.160369475696,0.398283704478,0.626011142216,0.604288739048
