Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.946052584524,8.11556516083,0.0,7.6600628401,0.0,0.225258978588,0.225258978588,0.225258978588,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.426992831147
 01/01  02:00:00,0.820765639748,8.23632428362,0.0,7.87433202758,0.0,0.231547461973,0.231547461973,0.231547461973,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.335742525837
 01/01  03:00:00,0.773163720579,8.32965444744,0.0,7.99385143877,0.0,0.235027504308,0.235027504308,0.235027504308,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.309857623159
 01/01  04:00:00,0.762755965317,8.44680776241,0.0,8.1043000131,0.0,0.238272160419,0.238272160419,0.238272160419,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.316927577444
 01/01  05:00:00,0.764377781587,8.64900938491,0.0,8.23337732068,0.0,0.24207667314,0.24207667314,0.24207667314,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.391018186782
 01/01  06:00:00,0.820350966457,8.97913596614,0.0,8.2427202773,0.0,0.242369944617,0.242369944617,0.242369944617,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.708948579842
 01/01  07:00:00,1.04343824117,9.38459689773,0.0,8.04684548753,0.0,0.236567555215,0.236567555215,0.236567555215,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30601586682
 01/01  08:00:00,1.38396091839,9.95953858423,0.0,8.44709728042,0.0,0.248250858071,0.248250858071,0.248250858071,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47871991127
 01/01  09:00:00,1.33865379299,9.54659507822,0.0,8.07157410902,0.0,0.237454004654,0.237454004654,0.237454004654,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44651147961
 01/01  10:00:00,1.17009941661,9.40798011778,0.0,8.06496387903,0.0,0.2370249311,0.2370249311,0.2370249311,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.3187523577
 01/01  11:00:00,1.20504393449,10.5574477767,0.0,9.37050629875,0.0,0.275760337145,0.275760337145,0.275760337145,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16210695063
 01/01  12:00:00,1.19396766139,9.4338194482,0.0,8.39115005799,0.0,0.246757962246,0.246757962246,0.246757962246,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01782725424
 01/01  13:00:00,1.16412654554,8.99875184618,0.0,8.06585143181,0.0,0.236944459368,0.236944459368,0.236944459368,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.90847675235
 01/01  14:00:00,1.13578794054,8.84477186385,0.0,7.97894520148,0.0,0.234564838018,0.234564838018,0.234564838018,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.840558443817
 01/01  15:00:00,1.13324766836,8.72296023912,0.0,7.92013863539,0.0,0.23283452136,0.23283452136,0.23283452136,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.776130573713
 01/01  16:00:00,1.20462910801,8.75452332728,0.0,7.94325069074,0.0,0.233515273077,0.233515273077,0.233515273077,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.783097926125
 01/01  17:00:00,1.4639942198,8.68637063674,0.0,7.78772504751,0.0,0.228962050511,0.228962050511,0.228962050511,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.865319844798
 01/01  18:00:00,1.97858725429,9.68941303379,0.0,8.62095572358,0.0,0.253587546629,0.253587546629,0.253587546629,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02797185676
 01/01  19:00:00,2.31869989003,9.70706059371,0.0,8.4752923905,0.0,0.249517508489,0.249517508489,0.249517508489,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.1878132202
 01/01  20:00:00,2.24357953266,8.3910427862,0.0,7.12553642978,0.0,0.209446867896,0.209446867896,0.209446867896,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22013617056
 01/01  21:00:00,2.07998114293,8.05010812098,0.0,6.87000633784,0.0,0.20148045678,0.20148045678,0.20148045678,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13317183071
 01/01  22:00:00,1.90688199958,7.88685558143,0.0,6.82297693728,0.0,0.200486654508,0.200486654508,0.200486654508,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01804433263
 01/01  23:00:00,1.58222761991,7.87481800562,0.0,6.99651445863,0.0,0.205617048952,0.205617048952,0.205617048952,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.838639824226
 01/01  24:00:00,1.26044317351,7.96033068062,0.0,7.28780816867,0.0,0.214220200119,0.214220200119,0.214220200119,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.638055474902
 01/02  01:00:00,0.934331092135,7.92579257344,0.0,7.48627944374,0.0,0.220111169275,0.220111169275,0.220111169275,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.411003640122
 01/02  02:00:00,0.810647484738,8.01957225587,0.0,7.6661825409,0.0,0.225376331039,0.225376331039,0.225376331039,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.327139984773
 01/02  03:00:00,0.763318095339,8.07777216297,0.0,7.74800899345,0.0,0.227793117496,0.227793117496,0.227793117496,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.30381778402
 01/02  04:00:00,0.747507340456,7.9701411025,0.0,7.63434462228,0.0,0.224388939729,0.224388939729,0.224388939729,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.310216308352
 01/02  05:00:00,0.739850265953,7.89576060765,0.0,7.49380260332,0.0,0.220220313121,0.220220313121,0.220220313121,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.377344126877
 01/02  06:00:00,0.787030001868,7.95164267971,0.0,7.25411850328,0.0,0.213145672628,0.213145672628,0.213145672628,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.670057067427
 01/02  07:00:00,0.999476822497,8.1664260007,0.0,6.91778322649,0.0,0.203231648762,0.203231648762,0.203231648762,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21690723083
 01/02  08:00:00,1.3081603077,7.99651533908,0.0,6.59279101179,0.0,0.193611609304,0.193611609304,0.193611609304,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37000293476
 01/02  09:00:00,1.2564664731,7.75268180439,0.0,6.39183097133,0.0,0.187703985654,0.187703985654,0.187703985654,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33234134347
 01/02  10:00:00,1.08000711597,7.77455536957,0.0,6.53678761629,0.0,0.191963688922,0.191963688922,0.191963688922,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21350387223
 01/02  11:00:00,1.095186556,8.46710616527,0.0,7.37079922543,0.0,0.216819187945,0.216819187945,0.216819187945,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07147241248
 01/02  12:00:00,1.07329827236,7.05832655154,0.0,6.09047423772,0.0,0.178577332735,0.178577332735,0.178577332735,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.943010177848
 01/02  13:00:00,1.0498734667,6.67857793198,0.0,5.80976873763,0.0,0.170501886622,0.170501886622,0.170501886622,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.844385532336
 01/02  14:00:00,1.03140647891,6.72888352083,0.0,5.91855043036,0.0,0.173771408908,0.173771408908,0.173771408908,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.785064871928
 01/02  15:00:00,1.04264630496,6.92659900042,0.0,6.17349698252,0.0,0.181358730134,0.181358730134,0.181358730134,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.726410987885
 01/02  16:00:00,1.1116245298,6.80910676066,0.0,6.04753717244,0.0,0.177569667724,0.177569667724,0.177569667724,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.733394877798
 01/02  17:00:00,1.37806569198,6.93228360831,0.0,6.09493969077,0.0,0.178951441944,0.178951441944,0.178951441944,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.804018173108
 01/02  18:00:00,1.89250103882,7.89484386848,0.0,6.90012052335,0.0,0.202853261372,0.202853261372,0.202853261372,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.954237891679
 01/02  19:00:00,2.20425365031,6.90665050215,0.0,5.77110839767,0.0,0.169381584303,0.169381584303,0.169381584303,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09158712146
 01/02  20:00:00,2.16391404306,6.75365381073,0.0,5.59480337407,0.0,0.164026132484,0.164026132484,0.164026132484,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.1134802508
 01/02  21:00:00,2.00824613365,6.68722344574,0.0,5.607941369,0.0,0.164600817828,0.164600817828,0.164600817828,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03235212432
 01/02  22:00:00,1.84007616552,6.74568385211,0.0,5.76718603774,0.0,0.169287677913,0.169287677913,0.169287677913,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.932663502845
 01/02  23:00:00,1.52229839341,6.73666207491,0.0,5.92553780144,0.0,0.173981034378,0.173981034378,0.173981034378,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.771460550708
 01/02  24:00:00,1.21149289861,6.78913538264,0.0,6.15807241177,0.0,0.180804770549,0.180804770549,0.180804770549,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.596595933823
 01/03  01:00:00,0.903066946555,6.87041438345,0.0,6.42972583905,0.0,0.188847023696,0.188847023696,0.188847023696,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.412179054813
 01/03  02:00:00,0.78201116836,7.05255599172,0.0,6.6981087152,0.0,0.196740014661,0.196740014661,0.196740014661,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.328197546322
 01/03  03:00:00,0.741228086924,7.33304893778,0.0,7.00216945772,0.0,0.205703109081,0.205703109081,0.205703109081,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.304934094555
 01/03  04:00:00,0.732880054783,7.47729156846,0.0,7.14041732346,0.0,0.209761654056,0.209761654056,0.209761654056,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.311294073134
 01/03  05:00:00,0.730665555806,7.58773054415,0.0,7.18469371929,0.0,0.211035602975,0.211035602975,0.211035602975,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.378422947411
 01/03  06:00:00,0.781777047449,7.77742951232,0.0,7.07842107642,0.0,0.207892718209,0.207892718209,0.207892718209,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.671541326904
 01/03  07:00:00,1.00991458081,8.52606911598,0.0,7.27488138972,0.0,0.213669407072,0.213669407072,0.213669407072,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21945218288
